code,date,open,close,high,low,volume,money
000001.XSHE,2014-05-27,733.33,736.51,744.14,731.42,447169.0323281421,329820855.0
000001.XSHE,2014-05-28,735.88,737.78,739.69,725.06,671425.1945024262,491805586.0
000001.XSHE,2014-05-29,737.15,731.42,746.05,730.79,569541.0297776929,420664103.0
000001.XSHE,2014-05-30,730.79,731.42,738.42,728.88,501201.7035355884,367352179.0
000001.XSHE,2014-06-03,731.42,732.06,743.51,731.42,437271.8274458381,322369289.0
000001.XSHE,2014-06-04,732.06,720.61,732.7,715.52,509245.4587085939,367019434.0
000001.XSHE,2014-06-05,718.7,726.97,727.61,718.07,387231.9916915416,280040134.0
000001.XSHE,2014-06-06,727.61,723.79,730.15,718.07,293129.4546760801,212122415.0
000001.XSHE,2014-06-09,721.88,730.15,733.97,719.97,492944.2662466617,359570304.0
000001.XSHE,2014-06-10,732.7,747.32,747.32,729.51,977934.5193491408,723578223.0
000001.XSHE,2014-06-11,742.87,749.23,753.05,740.33,681163.960332608,509138753.0
000001.XSHE,2014-06-12,744.31,751.27,755.91,743.54,474910.7271686611,355930913.0
000001.XSHE,2014-06-13,750.5,782.99,801.56,748.95,1602037.1396824988,1246121587.0
000001.XSHE,2014-06-16,778.35,783.77,791.51,775.26,1135024.7725735873,889635330.0
000001.XSHE,2014-06-17,777.58,776.8,787.64,772.16,700328.7744593205,546276872.0
000001.XSHE,2014-06-18,776.8,762.88,778.35,759.01,696060.0618708052,534088537.0
000001.XSHE,2014-06-19,762.88,756.69,769.07,748.95,624368.259128573,474539135.0
000001.XSHE,2014-06-20,755.91,762.1,762.1,753.59,480894.8103923369,364391956.0
000001.XSHE,2014-06-23,762.1,755.91,769.07,755.14,556878.7554073898,423343784.0
000001.XSHE,2014-06-24,756.69,758.24,762.1,755.14,367826.9940915805,279236332.0
000001.XSHE,2014-06-25,758.24,755.91,758.24,745.86,350602.5201412868,263561761.0
000001.XSHE,2014-06-26,751.27,759.78,760.56,751.27,443171.7997315013,335695808.0
000001.XSHE,2014-06-27,757.46,759.78,763.65,751.27,475013.3222775016,359867500.0
000001.XSHE,2014-06-30,758.24,766.75,771.39,758.24,578040.8972937727,442022667.0
000001.XSHE,2014-07-01,766.75,762.88,769.84,760.56,368281.7533557046,281226036.0
000001.XSHE,2014-07-02,762.88,765.2,765.97,759.01,369701.43491897534,281860930.0
000001.XSHE,2014-07-03,765.2,770.62,772.94,760.56,577609.4313669512,443706947.0
000001.XSHE,2014-07-04,771.39,766.75,774.48,763.65,442426.08542549727,339849680.0
000001.XSHE,2014-07-07,766.75,762.88,768.29,758.24,443396.2694001676,337858862.0
000001.XSHE,2014-07-08,761.33,768.29,768.29,755.91,447310.7693709407,341181866.0
000001.XSHE,2014-07-09,767.52,746.63,767.52,741.21,759833.9405060072,573428081.0
000001.XSHE,2014-07-10,747.4,748.18,752.82,743.54,465622.5587425486,348037396.0
000001.XSHE,2014-07-11,747.4,748.18,750.5,745.86,411418.9633510655,307784200.0
000001.XSHE,2014-07-14,748.95,752.05,752.05,740.44,598562.2658067949,446249366.0
000001.XSHE,2014-07-16,750.5,743.54,750.5,737.35,798359.9846679398,592430910.0
000001.XSHE,2014-07-17,742.76,741.99,744.31,737.35,413684.8299842315,306408667.0
000001.XSHE,2014-07-18,738.89,742.76,746.63,737.35,484827.4005062201,360491468.0
000001.XSHE,2014-07-21,742.76,738.89,742.76,737.35,352840.37542800687,260824609.0
000001.XSHE,2014-07-22,737.35,752.82,756.69,736.57,793189.775776414,594109603.0
000001.XSHE,2014-07-23,750.5,755.14,759.78,748.95,718233.8427311494,541812161.0
000001.XSHE,2014-07-24,755.91,786.09,796.92,755.14,2333978.5317202862,1820195501.0
000001.XSHE,2014-07-25,789.18,790.73,793.83,780.67,1103663.8397430226,868776218.0
000001.XSHE,2014-07-28,793.83,834.06,843.34,793.05,2414183.10673093,1997905686.0
000001.XSHE,2014-07-29,837.15,837.15,857.27,830.19,1553337.8892671566,1306060139.0
000001.XSHE,2014-07-30,837.15,831.74,858.82,830.19,1046935.2802558492,880615196.0
000001.XSHE,2014-07-31,831.74,841.02,843.34,824.77,824321.9043542363,685542477.0
000001.XSHE,2014-08-01,838.7,827.87,857.27,827.87,1104431.4928672374,930963620.0
000001.XSHE,2014-08-04,827.87,845.67,845.67,820.13,1073553.551621791,896723307.0
000001.XSHE,2014-08-05,847.21,837.15,858.04,828.64,972171.4746461208,817855351.0
000001.XSHE,2014-08-06,831.74,824.0,831.74,813.17,1078762.281553398,884426543.0
000001.XSHE,2014-08-07,824.0,812.4,825.55,810.85,770872.4150664699,629428835.0
000001.XSHE,2014-08-08,814.72,815.49,820.91,810.07,718166.0204294351,586028913.0
000001.XSHE,2014-08-11,817.04,828.64,831.74,817.04,803058.713072022,663289074.0
000001.XSHE,2014-08-12,824.0,820.13,824.0,813.94,621490.6417275307,508261426.0
000001.XSHE,2014-08-13,818.59,824.0,828.64,812.4,689361.316747573,564742921.0
000001.XSHE,2014-08-14,826.32,815.49,830.96,813.17,676859.829059829,556647424.0
000001.XSHE,2014-08-15,815.49,818.59,821.68,808.53,872531.0839370136,711396017.0
000001.XSHE,2014-08-18,819.36,824.0,826.32,816.26,761297.9308252429,625071132.0
000001.XSHE,2014-08-19,824.0,818.59,825.55,813.17,750692.8694462427,613972091.0
000001.XSHE,2014-08-20,817.81,810.07,817.81,807.75,740961.2033527966,600953643.0
000001.XSHE,2014-08-21,808.53,800.02,810.07,793.05,817138.1390465238,653437627.0
000001.XSHE,2014-08-22,796.15,800.79,805.43,793.83,622406.2113662759,497925165.0
000001.XSHE,2014-08-25,800.79,789.96,800.79,787.64,658428.4191604638,521455020.0
000001.XSHE,2014-08-26,788.41,788.41,794.6,784.54,596044.1077611902,469937740.0
000001.XSHE,2014-08-27,788.41,792.28,803.88,786.86,740776.654718029,588962379.0
000001.XSHE,2014-08-28,792.28,785.32,793.05,784.54,567354.1358936485,447049636.0
000001.XSHE,2014-08-29,785.32,793.05,793.05,784.54,444258.4326335036,350690299.0
000001.XSHE,2014-09-01,792.28,796.92,799.24,787.64,630446.5441951514,501154917.0
000001.XSHE,2014-09-02,800.79,808.53,811.62,792.28,1018472.0727740464,816708469.0
000001.XSHE,2014-09-03,810.07,812.4,819.36,806.98,991230.2437223042,807419924.0
000001.XSHE,2014-09-04,812.4,816.26,816.26,803.88,811883.1561022223,657759855.0
000001.XSHE,2014-09-05,816.26,817.81,823.23,812.4,772743.1139262173,631007278.0
000001.XSHE,2014-09-09,816.26,809.3,818.59,806.21,732442.9852959348,593192774.0
000001.XSHE,2014-09-10,804.66,799.24,804.66,797.7,687072.1798208299,549288049.0
000001.XSHE,2014-09-11,799.24,802.34,816.26,797.7,922126.6009422438,743736534.0
000001.XSHE,2014-09-12,802.34,802.34,803.11,794.6,528172.8419373333,421462758.0
000001.XSHE,2014-09-15,799.24,797.7,799.24,793.05,666160.157954118,530217720.0
