code,date,open,close,high,low,volume,money,time_interval,SMA_5,SMA_15,upperband,lowerband,SMA5_volume,ATR_5,ATR_15,MACD
000001.XSHE,2014-03-24,684.99,686.27,695.17,676.09,1324696.666035234,908752381.0,3.0,665.278,669.0926666666668,703.101401230995,635.0839321023386,1051559.805934666,22.898000000000025,21.031333333333336,3.6903893034843804
000001.XSHE,2014-03-25,684.99,674.18,687.54,672.27,653681.865377199,444837778.0,1.0,668.0759999999999,667.4813333333334,697.6192191883464,637.3434474783204,1046509.8235669757,23.662000000000013,21.031333333333336,2.723736180397168
000001.XSHE,2014-03-26,678.0,680.54,683.72,670.37,566344.9907426456,383225991.0,1.0,673.928,667.4813333333333,697.6192191883463,637.3434474783203,1045621.5633934314,23.405999999999995,20.480000000000004,0.7213661844130002
000001.XSHE,2014-03-27,676.73,684.99,701.53,669.09,1262756.1249069327,867998493.0,1.0,682.45,667.4813333333333,697.6192191883463,637.3434474783203,1155132.5878704437,27.095999999999982,21.20133333333333,-1.4038232375950201
000001.XSHE,2014-03-28,680.54,685.63,696.44,680.54,837473.1269051819,576606515.0,1.0,682.3219999999999,667.3966666666668,697.3070305338439,637.4863027994896,928990.5547934386,19.20799999999999,21.37066666666668,-2.7183577655332556
000001.XSHE,2014-03-31,690.08,684.99,695.17,678.63,504909.6877326677,346031059.0,3.0,682.066,669.3466666666667,699.8088893289097,638.8844440044237,765033.1591329253,18.7,20.184000000000008,-3.238571333266691
000001.XSHE,2014-04-01,681.81,686.9,692.63,680.54,442193.0994322319,303945831.0,1.0,684.61,671.7213333333333,701.6972473469649,641.7454193197017,722735.4059439319,18.06400000000001,19.803333333333338,-3.805005442225024
000001.XSHE,2014-04-02,686.27,693.9,699.62,682.45,723869.6166594612,500530856.0,1.0,687.2819999999999,674.096,705.1332226297985,643.0587773702015,754240.331127295,18.827999999999996,19.676000000000005,-5.435216779024813
000001.XSHE,2014-04-03,697.08,684.99,700.89,684.99,713268.9922480622,494226976.0,1.0,687.282,674.986,706.4836097052316,643.4883902947684,644342.904595521,15.520000000000005,18.870000000000005,-4.303456026365211
000001.XSHE,2014-04-04,680.54,686.27,688.17,674.18,537856.980488729,366582469.0,1.0,687.4100000000001,676.9793333333333,707.1858628702879,646.7728037963788,584419.6753122304,15.137999999999987,18.572666666666677,-3.730618252881868
000001.XSHE,2014-04-08,685.63,717.43,730.15,685.63,2111446.2567776646,1503011338.0,4.0,693.8979999999999,680.4140000000001,716.3913450938259,644.4366549061743,905726.9891212297,20.73399999999999,20.77733333333334,-9.73268712447998
000001.XSHE,2014-04-09,716.79,711.71,721.88,709.8,876299.7470879994,626173962.0,1.0,698.86,683.8486666666666,721.3558780621688,646.3414552711645,992548.3186523833,20.731999999999992,20.81933333333334,-11.636698669392217
000001.XSHE,2014-04-10,712.98,722.52,736.51,709.8,1210758.5229474618,875973996.0,1.0,704.5840000000001,688.598,726.4706423688684,650.7253576311315,1089926.099909983,22.640000000000008,21.624666666666666,-14.514592959366382
000001.XSHE,2014-04-11,721.25,725.06,731.42,715.52,932765.150470306,674484389.0,1.0,712.598,694.11,726.8768011429717,661.3431988570284,1133825.331554432,22.640000000000008,21.752,-16.117756588544353
000001.XSHE,2014-04-14,721.88,717.43,728.24,711.71,663094.4454511241,476286016.0,3.0,718.8299999999999,696.1873333333333,730.7269523788542,661.6477142878124,1158872.8245469113,23.148000000000003,19.164666666666662,-14.791778847708883
000001.XSHE,2014-04-15,712.98,697.71,712.98,693.9,840684.2857347607,589951079.0,1.0,714.886,696.95,731.0535758493809,662.8464241506192,904720.4303383303,18.95,19.461333333333332,-9.293634380233584
000001.XSHE,2014-04-16,695.17,698.99,707.89,691.99,592188.6636432566,414022284.0,1.0,712.342,698.6039999999999,730.2960069237862,666.9119930762137,847898.2136493819,19.713999999999988,19.50333333333333,-5.9658153416966115
000001.XSHE,2014-04-17,700.89,693.26,704.07,688.81,479365.1011164642,333308778.0,1.0,706.49,699.452,729.7212925019995,669.1827074980005,701619.5292831823,17.424,19.63066666666667,-2.5822619299793814
000001.XSHE,2014-04-18,690.08,686.9,691.99,681.81,508702.1691658176,349116386.0,1.0,698.858,699.5793333333334,729.6029682771284,669.5556983895383,616806.9330222846,16.534000000000013,18.231333333333342,0.8240718072714799
000001.XSHE,2014-04-21,683.72,679.91,693.26,678.63,468780.81510788185,321958717.0,3.0,691.354,699.198,730.1130117950146,668.2829882049854,577944.2069536361,16.154000000000018,18.14666666666667,4.233013495364844
000001.XSHE,2014-04-22,681.18,703.44,711.07,679.27,822742.3689298306,569436902.0,1.0,692.5,700.428,730.3732674057215,670.4827325942784,574355.8235926501,17.80800000000004,19.16400000000001,1.1431039177791718
000001.XSHE,2014-04-23,704.71,718.7,727.61,704.71,1872633.421455406,1346112881.0,1.0,696.442,702.548,732.8887309451483,672.2072690548517,830444.77515508,19.462000000000035,19.96933333333334,-3.8861393323866196
000001.XSHE,2014-04-24,726.33,714.25,728.24,707.25,996832.502625132,712285189.0,1.0,700.6400000000001,703.9046666666667,734.4075966118089,673.4017367215245,933938.2554568136,20.608000000000015,20.224000000000007,-5.730858756133898
000001.XSHE,2014-04-25,714.25,715.52,732.7,706.62,1123136.8445326476,810798996.0,1.0,706.364,705.94,735.0776692861446,676.8023307138556,1056825.1905301795,23.534000000000013,20.90266666666668,-6.832742638480909
000001.XSHE,2014-04-28,715.52,701.53,717.43,697.08,827088.84153208,582531837.0,3.0,710.688,706.9573333333334,734.152542435221,679.7621242314458,1128486.7958150194,24.677999999999997,21.32666666666667,-4.27622729324662
000001.XSHE,2014-04-29,700.89,709.8,714.89,694.53,650327.0667793744,458214400.0,1.0,711.96,706.4486666666667,733.084039352165,679.8132939811684,1094003.735384928,22.389999999999986,19.716000000000008,-4.329667204641396
000001.XSHE,2014-04-30,711.07,708.53,713.61,705.35,408154.8332462987,289374782.0,1.0,709.9259999999999,706.2366666666668,732.7428758224415,679.730457510892,801108.0177431066,19.20799999999999,19.46133333333334,-3.9158543527616985
000001.XSHE,2014-05-05,705.98,698.99,705.98,688.81,634050.314024521,440425706.0,5.0,706.874,704.668,729.7933056271421,679.5426943728579,728551.5800229844,18.953999999999997,18.99533333333334,-1.523802924466736
000001.XSHE,2014-05-06,694.53,696.44,705.35,693.26,421011.494170352,294205487.0,1.0,703.058,702.76,725.4803043239212,680.0396956760787,588126.5099505252,16.155999999999995,18.74133333333334,0.4663021972246497
000001.XSHE,2014-05-07,693.9,690.08,696.44,690.08,380350.6115233016,263551802.0,1.0,700.768,700.9366666666666,722.9914564498662,678.881876883467,498778.8639487695,13.358000000000015,18.063333333333343,2.9327675933269575
