code,date,open,close,high,low,volume,money
000001.XSHE,2020-05-19,1592.11,1586.17,1593.3,1575.49,505680.7630960111,801755634.0
000001.XSHE,2020-05-20,1588.55,1603.98,1617.04,1575.49,581889.0198132147,929928862.0
000001.XSHE,2020-05-21,1605.17,1590.92,1611.11,1586.17,465205.5288763734,742796989.0
000001.XSHE,2020-05-22,1582.61,1533.94,1583.8,1533.94,721187.402375582,1119433464.0
000001.XSHE,2020-05-25,1539.87,1538.68,1541.06,1514.94,345478.9923830816,528769331.0
000001.XSHE,2020-05-26,1545.81,1548.18,1551.74,1536.31,333722.0168197496,515451827.0
000001.XSHE,2020-05-27,1549.37,1543.43,1565.99,1539.87,406789.1643935908,630305849.0
000001.XSHE,2020-05-28,1554.3,1578.46,1591.74,1549.47,795535.6245961256,1255226954.0
000001.XSHE,2020-05-29,1571.21,1570.0,1574.83,1561.55,379076.6878980892,594502104.0
000001.XSHE,2020-06-01,1582.08,1608.65,1617.1,1582.08,731110.7997389116,1173618984.0
000001.XSHE,2020-06-02,1605.03,1636.43,1646.09,1603.82,731513.5294513054,1194375752.0
000001.XSHE,2020-06-03,1647.3,1635.22,1676.28,1630.39,792256.681058206,1308782266.0
000001.XSHE,2020-06-04,1634.01,1638.84,1647.3,1619.52,482794.7060115691,788707604.0
000001.XSHE,2020-06-05,1642.46,1641.26,1643.67,1621.93,317154.09746170626,517232105.0
000001.XSHE,2020-06-08,1652.13,1644.88,1672.66,1641.26,485198.009581246,802115754.0
000001.XSHE,2020-06-09,1647.3,1650.92,1658.16,1634.01,392732.2141593778,646895805.0
000001.XSHE,2020-06-10,1655.75,1629.18,1655.75,1618.31,480648.0094280557,781995727.0
000001.XSHE,2020-06-11,1615.9,1579.66,1615.9,1570.0,1117049.686641429,1774199901.0
000001.XSHE,2020-06-12,1557.93,1568.79,1572.42,1555.51,853328.7074751881,1331618649.0
000001.XSHE,2020-06-15,1551.89,1548.26,1566.38,1545.85,546754.0464779818,850767474.0
000001.XSHE,2020-06-16,1557.93,1556.72,1567.59,1553.09,594571.0397502442,927043660.0
000001.XSHE,2020-06-17,1556.72,1551.89,1557.93,1541.02,593248.3874501413,918251074.0
000001.XSHE,2020-06-18,1541.02,1541.02,1545.85,1521.69,927111.6818730452,1419971926.0
000001.XSHE,2020-06-19,1537.39,1545.85,1549.47,1522.9,1274756.955720154,1954584849.0
000001.XSHE,2020-06-22,1538.6,1526.53,1541.02,1524.11,1092225.237630443,1671023245.0
000001.XSHE,2020-06-23,1527.73,1521.69,1532.56,1512.03,820413.8556473395,1248046609.0
000001.XSHE,2020-06-24,1526.53,1545.85,1554.3,1521.69,1261259.3459908783,1946329061.0
000001.XSHE,2020-06-29,1560.34,1545.85,1565.17,1534.98,859882.4465504416,1330678223.0
000001.XSHE,2020-06-30,1549.47,1545.85,1554.3,1536.19,776634.628198079,1199181549.0
000001.XSHE,2020-07-01,1544.64,1584.5,1588.12,1538.6,1405475.3423792997,2202800782.0
000001.XSHE,2020-07-02,1579.66,1621.93,1629.18,1567.59,2145002.673358283,3433511031.0
000001.XSHE,2020-07-03,1638.84,1720.96,1729.42,1638.84,3120283.4900288237,5280917917.0
000001.XSHE,2020-07-06,1763.23,1893.66,1893.66,1763.23,3901215.398751624,7168653262.0
000001.XSHE,2020-07-07,1968.54,1869.51,2007.19,1817.58,3282640.852415874,6267919599.0
000001.XSHE,2020-07-08,1839.32,1903.33,1932.31,1839.32,2178807.8073691903,4095447680.0
000001.XSHE,2020-07-09,1891.25,1875.55,1891.25,1848.98,1858082.0495321376,3469517253.0
000001.XSHE,2020-07-10,1853.81,1794.63,1869.51,1782.56,1787522.294846291,3254272273.0
000001.XSHE,2020-07-13,1775.31,1798.26,1821.2,1752.36,1604010.6892218038,2871414779.0
000001.XSHE,2020-07-14,1799.46,1772.9,1832.07,1758.4,1617602.8540808847,2891773719.0
000001.XSHE,2020-07-15,1784.97,1723.38,1793.43,1719.76,1691293.6682565652,2947173093.0
000001.XSHE,2020-07-16,1727.0,1708.89,1754.78,1705.26,1598820.2488164827,2771496310.0
000001.XSHE,2020-07-17,1711.3,1707.68,1720.96,1684.73,1069267.117961211,1821043885.0
000001.XSHE,2020-07-20,1718.55,1778.93,1783.76,1702.85,1639187.2693135762,2872758010.0
000001.XSHE,2020-07-21,1772.9,1749.95,1772.9,1740.29,1037407.6562187492,1815570242.0
000001.XSHE,2020-07-22,1749.95,1740.29,1768.06,1724.59,1087154.343241644,1895447189.0
000001.XSHE,2020-07-23,1719.76,1691.98,1725.8,1669.03,1678836.8195841557,2838535112.0
000001.XSHE,2020-07-24,1687.15,1630.39,1688.36,1621.93,1516013.5918399892,2504647058.0
000001.XSHE,2020-07-27,1650.92,1598.99,1652.13,1583.29,1557223.354742681,2497551435.0
000001.XSHE,2020-07-28,1611.06,1611.06,1620.73,1592.95,1007710.4527453972,1618089499.0
000001.XSHE,2020-07-29,1612.27,1635.22,1646.09,1597.78,1258246.575995891,2043847427.0
000001.XSHE,2020-07-30,1630.39,1614.69,1631.6,1614.69,798270.2041878009,1294444880.0
000001.XSHE,2020-07-31,1603.82,1611.06,1634.01,1600.2,965331.2403014164,1559068211.0
000001.XSHE,2020-08-03,1626.76,1641.26,1643.67,1624.35,1196567.6791002036,1954607201.0
000001.XSHE,2020-08-04,1649.71,1695.6,1708.89,1627.97,2025069.617834395,3388509960.0
000001.XSHE,2020-08-05,1669.03,1661.79,1671.45,1644.88,1192524.2250825912,1980352883.0
000001.XSHE,2020-08-06,1669.03,1678.7,1685.94,1648.5,1119910.091141955,1868047270.0
000001.XSHE,2020-08-07,1666.62,1654.54,1677.49,1644.88,818651.4680817628,1356305734.0
000001.XSHE,2020-08-10,1650.92,1684.73,1693.19,1646.09,1314671.5556795448,2208568222.0
000001.XSHE,2020-08-11,1687.15,1706.47,1768.06,1687.15,2155603.550604464,3748036767.0
